Id,Label,Group,Attribute
1,https://en.wikipedia.org/wiki/Fentanyl,link,0
2,https://en.wikipedia.org/wiki/World_Health_Organization,link,0
3,https://en.wikipedia.org/wiki/Paregoric,link,0
4,https://en.wikipedia.org/wiki/Diacetylnalorphine,link,0
5,https://en.wikipedia.org/wiki/18-Methoxycoronaridine,link,0
6,https://en.wikipedia.org/wiki/LY-2196044,link,0
7,https://en.wikipedia.org/wiki/Desomorphine,link,0
8,https://en.wikipedia.org/wiki/Acemetacin,link,0
9,https://en.wikipedia.org/wiki/Glafenine,link,0
10,https://en.wikipedia.org/wiki/Xorphanol,link,0
11,https://en.wikipedia.org/wiki/Excretion,link,0
12,https://en.wikipedia.org/wiki/17%CE%B1-Hydroxyprogesterone,link,0
13,https://en.wikipedia.org/wiki/WHO_Model_List_of_Essential_Medicines,link,0
14,https://en.wikipedia.org/wiki/Co-dydramol,link,0
15,https://en.wikipedia.org/wiki/Heroin,link,0
16,https://en.wikipedia.org/wiki/Propyphenazone/paracetamol/caffeine,link,0
17,https://en.wikipedia.org/wiki/Alpha-Lipoic_acid,link,0
18,https://en.wikipedia.org/wiki/New_Jersey,link,0
19,https://en.wikipedia.org/wiki/Nimesulide,link,0
20,https://en.wikipedia.org/wiki/Mifepristone,link,0
21,"https://en.wikipedia.org/wiki/J-113,397",link,0
22,https://en.wikipedia.org/wiki/Hyperforin,link,0
23,https://en.wikipedia.org/wiki/Pregnenolone_16%CE%B1-carbonitrile,link,0
24,https://en.wikipedia.org/wiki/Phenylpiperidine,link,0
25,https://en.wikipedia.org/wiki/Ro65-6570,link,0
26,https://en.wikipedia.org/wiki/Ethylene,link,0
27,https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime,link,0
28,https://en.wikipedia.org/wiki/Dimethylaminopivalophenone,link,0
29,https://en.wikipedia.org/wiki/Sedation,link,0
30,https://en.wikipedia.org/wiki/Choline_salicylate,link,0
31,https://en.wikipedia.org/wiki/PZM21,link,0
32,https://en.wikipedia.org/wiki/Rifampicin,link,0
33,https://en.wikipedia.org/wiki/Dextropropoxyphene,link,0
34,https://en.wikipedia.org/wiki/Aminophenazone,link,0
35,https://en.wikipedia.org/wiki/Alcohol_(drug),link,0
36,https://en.wikipedia.org/wiki/Receptor_modulator,link,0
